# Pod nào bị restart / tạo lại sau fault
# phase=after  utc=20260730-180505
------------------------------------------------------------------------
POD                                              AGE                    RESTARTS   NODE                                             PHASE
37m         Warning   PolicyViolation                replicaset/grafana-8f757b88f                          policy verify-first-party-signatures/autogen-verify-techx-main-workflow-signature fail: failed to verify image 197826770971.dkr.ecr.ap-southeast-1.amazonaws.com/techx-corp@sha256:fe9bdb6513fafc2fbf15b1ec27f408fe94e58bd00c3a0ac8d4848860758623f0: .attestors[0].entries[0].keyless: no signatures found
37m         Warning   PolicyViolation                replicaset/shopping-copilot-66856b5d96                policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/grafana-8f757b88f                          policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/grafana-b9c56c96d                          policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/shipping-85db66d769                        policy verify-first-party-signatures/autogen-verify-techx-main-workflow-signature fail: failed to verify image 197826770971.dkr.ecr.ap-southeast-1.amazonaws.com/techx-corp@sha256:4952c73703cca38ec8afe934a3571f5f0a5f5e8e2adeb4af3eafc5cfa5ddb3ec: .attestors[0].entries[0].keyless: no signatures found
37m         Warning   PolicyViolation                replicaset/m5-t20                                     policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
36m         Warning   PolicyViolation                replicaset/grafana-db78564f4                          policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/load-generator-d9846cfff                   policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/load-generator-74c9689d4b                  policy verify-first-party-signatures/autogen-verify-techx-main-workflow-signature fail: failed to verify image 197826770971.dkr.ecr.ap-southeast-1.amazonaws.com/techx-corp@sha256:db7016dbed1d6b24c5aa6beb1102fd11148aa791a6b61b745ef8fdebc6146641: .attestors[0].entries[0].keyless: no signatures found
37m         Warning   PolicyViolation                replicaset/grafana-fcbccfbc9                          policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/grafana-fcbccfbc9                          policy verify-first-party-signatures/autogen-verify-techx-main-workflow-signature fail: failed to verify image 197826770971.dkr.ecr.ap-southeast-1.amazonaws.com/techx-corp@sha256:fe9bdb6513fafc2fbf15b1ec27f408fe94e58bd00c3a0ac8d4848860758623f0: .attestors[0].entries[0].keyless: no signatures found
37m         Warning   PolicyViolation                replicaset/image-provider-5d89fc5f6b                  policy verify-first-party-signatures/autogen-verify-techx-main-workflow-signature fail: failed to verify image 197826770971.dkr.ecr.ap-southeast-1.amazonaws.com/techx-corp@sha256:00b73a3efd2caab3e69fce24b40b4e176da5c5f89b7b2c8ae2f37c25400cf44a: .attestors[0].entries[0].keyless: no signatures found
37m         Warning   PolicyViolation                replicaset/image-provider-697964fdf4                  policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/currency-fcbcbd695                         policy verify-first-party-signatures/autogen-verify-techx-main-workflow-signature fail: failed to verify image 197826770971.dkr.ecr.ap-southeast-1.amazonaws.com/techx-corp@sha256:e4e4c76b27fea4d82bbc25aa2f2d6c2163450a223f89c71e7ae4985fb6c0203a: .attestors[0].entries[0].keyless: no signatures found
37m         Warning   PolicyViolation                replicaset/image-provider-6bd5f56bc5                  policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/image-provider-6ccd5fcdbc                  policy verify-first-party-signatures/autogen-verify-techx-main-workflow-signature fail: failed to verify image 197826770971.dkr.ecr.ap-southeast-1.amazonaws.com/techx-corp@sha256:00b73a3efd2caab3e69fce24b40b4e176da5c5f89b7b2c8ae2f37c25400cf44a: .attestors[0].entries[0].keyless: no signatures found
37m         Warning   PolicyViolation                replicaset/image-provider-986d5576d                   policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/image-provider-f78dc98fd                   policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/prometheus-5b74d99d6                       policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/shipping-79845c8668                        policy verify-first-party-signatures/autogen-verify-techx-main-workflow-signature fail: failed to verify image 197826770971.dkr.ecr.ap-southeast-1.amazonaws.com/techx-corp@sha256:4952c73703cca38ec8afe934a3571f5f0a5f5e8e2adeb4af3eafc5cfa5ddb3ec: .attestors[0].entries[0].keyless: no signatures found
37m         Warning   PolicyViolation                replicaset/jaeger-5b9669b984                          policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/load-generator-69b677dc7c                  policy verify-first-party-signatures/autogen-verify-techx-main-workflow-signature fail: failed to verify image 197826770971.dkr.ecr.ap-southeast-1.amazonaws.com/techx-corp@sha256:db7016dbed1d6b24c5aa6beb1102fd11148aa791a6b61b745ef8fdebc6146641: .attestors[0].entries[0].keyless: no signatures found
37m         Warning   PolicyViolation                replicaset/load-generator-68b9f8557f                  policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
38m         Warning   PolicyViolation                pod/prometheus-6bf886fbf6-z7b26                       policy allow-approved-external-image-digests/require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/load-generator-68499dbcb                   policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/llm-86cddb4764                             policy verify-first-party-signatures/autogen-verify-techx-main-workflow-signature fail: failed to verify image 197826770971.dkr.ecr.ap-southeast-1.amazonaws.com/techx-corp@sha256:85a7578ef9b826196632fdd219eaa131f0caed024753499d036fc5baabf374b8: .attestors[0].entries[0].keyless: no signatures found
36m         Warning   PolicyViolation                replicaset/llm-7fb4cdbdfd                             policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
37m         Warning   PolicyViolation                replicaset/llm-748c9bc7b9                             policy allow-approved-external-image-digests/autogen-require-approved-external-image-digest fail: validation failure: External images must match the reviewed exact-digest catalog.
